策略: BreakoutStrategy
扫描日期范围: 2025-09-10 到 2025-12-08
信号模式: ['*** 二次确认信号', '买入信号: 快速通道', '买入信号: 回踩确认', '买入信号: 止损纠错']
总计: 459 只股票
  - 找到信号: 339 只
  - 无信号: 113 只
  - 出错/数据不足: 7 只

============================================================
详细扫描结果:
============================================================


找到信号的股票 (339 只):
----------------------------------------
  600382 - 信号数: 2
  600403 - 信号数: 1
  600408 - 信号数: 2
  600410 - 信号数: 2
  600429 - 信号数: 1
  600506 - 信号数: 1
  600516 - 信号数: 3
  600537 - 信号数: 3
  600550 - 信号数: 1
  600617 - 信号数: 1
  600635 - 信号数: 1
  600683 - 信号数: 1
  600693 - 信号数: 1
  600708 - 信号数: 1
  600734 - 信号数: 1
  600745 - 信号数: 1
  600748 - 信号数: 1
  600756 - 信号数: 1
  600759 - 信号数: 1
  600802 - 信号数: 1
  600815 - 信号数: 2
  600819 - 信号数: 2
  600828 - 信号数: 3
  600829 - 信号数: 1
  600871 - 信号数: 1
  600939 - 信号数: 2
  600977 - 信号数: 2
  600981 - 信号数: 1
  600984 - 信号数: 2
  600996 - 信号数: 2
  601011 - 信号数: 2
  601012 - 信号数: 2
  601069 - 信号数: 1
  601106 - 信号数: 1
  601116 - 信号数: 1
  601126 - 信号数: 1
  601179 - 信号数: 2
  601231 - 信号数: 2
  601279 - 信号数: 1
  601360 - 信号数: 2
  601399 - 信号数: 1
  601566 - 信号数: 1
  601606 - 信号数: 2
  601608 - 信号数: 1
  601888 - 信号数: 1
  601929 - 信号数: 1
  601956 - 信号数: 1
  603026 - 信号数: 1
  603052 - 信号数: 1
  603067 - 信号数: 1
  603088 - 信号数: 2
  603155 - 信号数: 2
  603156 - 信号数: 1
  603162 - 信号数: 3
  603169 - 信号数: 2
  603185 - 信号数: 1
  603192 - 信号数: 1
  603216 - 信号数: 1
  603232 - 信号数: 1
  603280 - 信号数: 1
  603327 - 信号数: 1
  603353 - 信号数: 1
  603366 - 信号数: 1
  603378 - 信号数: 1
  603396 - 信号数: 1
  603530 - 信号数: 1
  603556 - 信号数: 1
  603663 - 信号数: 1
  603686 - 信号数: 2
  603690 - 信号数: 1
  603696 - 信号数: 2
  603709 - 信号数: 1
  603759 - 信号数: 1
  603829 - 信号数: 2
  603877 - 信号数: 1
  603898 - 信号数: 2
  603903 - 信号数: 1
  603906 - 信号数: 3
  603929 - 信号数: 1
  603933 - 信号数: 2
  603938 - 信号数: 1
  603948 - 信号数: 2
  603978 - 信号数: 2
  605060 - 信号数: 1
  605136 - 信号数: 2
  605178 - 信号数: 1
  605188 - 信号数: 1
  605299 - 信号数: 2
  605339 - 信号数: 3
  605399 - 信号数: 1
  605580 - 信号数: 1
  688048 - 信号数: 1
  688072 - 信号数: 1
  688109 - 信号数: 2
  688110 - 信号数: 1
  688123 - 信号数: 1
  688227 - 信号数: 1
  688233 - 信号数: 1
  688239 - 信号数: 2
  688249 - 信号数: 1
  688260 - 信号数: 1
  688275 - 信号数: 1
  688308 - 信号数: 2
  688367 - 信号数: 1
  688392 - 信号数: 1
  688498 - 信号数: 1
  688525 - 信号数: 1
  688670 - 信号数: 1

无信号的股票 (113 只):
----------------------------------------
  000017
  000063
  000158
  000407
  000509
  000555
  000619
  000626
  000798
  000852
  000859
  000892
  000901
  001211
  001255
  001318
  001387
  002082
  002097
  002114
  002150
  002163
  002181
  002227
  002402
  002451
  002512
  002513
  002518
  002519
  002549
  002565
  002589
  002709
  002748
  002759
  002877
  002910
  003036
  003038
  300014
  300073
  300094
  300111
  300127
  300131
  300139
  300204
  300274
  300290
  300377
  300402
  300437
  300475
  300497
  300560
  300620
  300638
  300756
  300814
  300827
  300997
  301158
  301183
  301231
  301292
  301323
  301377
  301486
  600021
  600111
  600113
  600234
  600246
  600319
  600353
  600376
  600593
  600601
  600629
  600678
  600681
  600737
  600868
  600960
  600973
  601212
  601611
  603011
  603014
  603122
