序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,封单排名,封板时间段,采集时间,交易日期,涨跌类型,动态市盈率,封单资金,板上成交额,连续跌停,开板次数,涨停价,涨速,振幅,综合排名
1,001331,胜通能源,10.016834259033203,26.14,29091441,4388270249.06,7377753600.0,0.6629363894462585,552769274.0,092500,092500,0.0,6/6,6.0,物流行业,1,竞价阶段(09:15-09:25),2025-12-19 20:22:07,20251219,涨停,,,,,,,,,1
4,002969,嘉美包装,9.963768005371094,6.07,17454285,5762373601.860001,5799593348.64,0.3029009699821472,451417402.0,092500,092500,0.0,6/4,3.0,包装材料,2,竞价阶段(09:15-09:25),2025-12-19 20:22:07,20251219,涨停,,,,,,,,,2
3,002788,鹭燕医药,10.0,15.29,48585550,5837627217.29,5940420893.44,0.8322824835777283,352301431.0,092500,092500,0.0,3/3,3.0,医药商业,5,竞价阶段(09:15-09:25),2025-12-19 20:22:07,20251219,涨停,,,,,,,,,5
2,002735,王子新材,10.018552780151367,17.79,309376640,4989445842.9,6795896702.4,6.200621128082275,243488527.0,092500,092500,0.0,3/2,1.0,包装材料,6,竞价阶段(09:15-09:25),2025-12-19 20:22:07,20251219,涨停,,,,,,,,,6
5,603679,华体科技,10.02849006652832,19.31,200008442,3182137594.41,3182137594.41,6.285348415374756,134980375.0,092503,092503,0.0,2/2,2.0,光学光电,13,竞价阶段(09:15-09:25),2025-12-19 20:22:07,20251219,涨停,,,,,,,,,13
1,600250,南京商旅,-0.1367989182472229,14.6,1484028704,4534670633.4,4534670531.2,31.066091537475586,,092503,,3.0,10/5,,贸易行业,1,竞价阶段(09:15-09:25),2025-12-19 20:22:07,20251219,炸板,,,,,,16.08,0.0,10.807113647460938,71
