序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,封单排名,封板时间段,采集时间,交易日期,涨跌类型,动态市盈率,封单资金,板上成交额,连续跌停,开板次数,涨停价,涨速,振幅,综合排名
6,601933,永辉超市,10.105263710021973,5.23,1426194016,47462443473.39001,47462443133.44,3.004889726638794,1161329653.0,092503,092503,0.0,3/3,3.0,商业百货,1,竞价阶段(09:15-09:25),2025-12-10 18:18:23,20251210,涨停,,,,,,,,,1
3,002235,安妮股份,9.964412689208984,12.36,60186649,6842227812.719999,7163513479.679999,0.8796352744102478,461515354.0,092500,092500,0.0,10/5,3.0,造纸印刷,2,竞价阶段(09:15-09:25),2025-12-10 18:18:23,20251210,涨停,,,,,,,,,2
5,600693,东百集团,9.975668907165527,13.56,59643131,11782999723.92,11795115014.4,0.5061795115470886,319818552.0,092501,092501,0.0,4/4,4.0,商业百货,3,竞价阶段(09:15-09:25),2025-12-10 18:18:23,20251210,涨停,,,,,,,,,3
8,603601,再升科技,9.952607154846191,6.96,212530532,7169796630.24,7169796672.0,2.964247703552246,189895944.0,092503,092503,0.0,3/3,3.0,玻璃玻纤,9,竞价阶段(09:15-09:25),2025-12-10 18:18:23,20251210,涨停,,,,,,,,,9
1,000950,重药控股,9.94371509552002,5.86,299718656,10127162318.560001,10127162365.44,2.959718704223633,172349391.0,092500,092500,0.0,1/1,1.0,医药商业,12,竞价阶段(09:15-09:25),2025-12-10 18:18:23,20251210,涨停,,,,,,,,,12
2,002105,信隆健康,9.988248825073242,9.36,315149776,3411457686.0,3445041600.0,9.256422996520996,114330303.0,092500,105445,1.0,2/2,2.0,交运设备,21,竞价阶段(09:15-09:25),2025-12-10 18:18:23,20251210,涨停,,,,,,,,,21
7,603101,汇嘉时代,9.968847274780273,10.59,97006804,4981536000.0,4981536000.0,1.9473271369934082,95138473.0,092503,092503,0.0,1/1,1.0,商业百货,26,竞价阶段(09:15-09:25),2025-12-10 18:18:23,20251210,涨停,,,,,,,,,26
4,003016,欣贺股份,9.974205017089844,12.79,727035072,5255191549.179999,5378471468.639999,13.915273666381836,37317664.0,092500,095533,7.0,6/3,2.0,纺织服装,48,竞价阶段(09:15-09:25),2025-12-10 18:18:23,20251210,涨停,,,,,,,,,48
1,001208,华菱线缆,5.386416912078857,13.5,1369468000,3555869584.5,8617730832.0,37.64592742919922,,092500,,2.0,0/0,,电网设备,1,竞价阶段(09:15-09:25),2025-12-10 18:18:23,20251210,炸板,,,,,,14.09,0.0,7.806400775909424,58
