序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,封单排名,封板时间段,采集时间,交易日期,涨跌类型,动态市盈率,封单资金,板上成交额,连续跌停,开板次数,涨停价,涨速,振幅,综合排名
2,002370,亚太药业,10.058309555053711,7.55,140183681,5629789851.5,5629789896.8,2.4900341033935547,281943802.0,092500,092500,0.0,3/3,3.0,化学制药,4,竞价阶段(09:15-09:25),2025-10-16 19:37:29,20251016,涨停,,,,,,,,,4
7,603778,国晟科技,9.898476600646973,4.33,71918702,2783571424.86,2843260414.2400002,2.5836844444274902,182937737.0,092502,092502,0.0,2/2,2.0,光伏设备,5,竞价阶段(09:15-09:25),2025-10-16 19:37:29,20251016,涨停,,,,,,,,,5
4,002825,纳尔股份,9.99074935913086,11.89,70028545,3050308255.1200004,4060852576.8,2.295785903930664,151057682.0,092500,092500,0.0,1/1,1.0,塑料制品,9,竞价阶段(09:15-09:25),2025-10-16 19:37:29,20251016,涨停,,,,,,,,,9
5,002885,京泉华,10.012567520141602,26.26,810096480,6063634967.780001,7114279789.76,13.387948989868164,104994806.0,092500,093854,3.0,5/3,2.0,消费电子,15,竞价阶段(09:15-09:25),2025-10-16 19:37:29,20251016,涨停,,,,,,,,,15
1,002227,奥 特 迅,9.970674514770508,15.0,275216384,3689051490.0,3717092550.0,7.470538139343262,94608000.0,092500,094430,1.0,1/1,1.0,电源设备,19,竞价阶段(09:15-09:25),2025-10-16 19:37:29,20251016,涨停,,,,,,,,,19
6,603938,三孚股份,10.006254196166992,17.59,119681217,6730364902.23,6730364884.64,1.7782278060913086,92253921.0,092501,092501,0.0,2/2,2.0,化学制品,20,竞价阶段(09:15-09:25),2025-10-16 19:37:29,20251016,涨停,,,,,,,,,20
3,002571,德力股份,9.975961685180664,9.15,54633735,2729501620.2000003,3586348941.6,2.001601219177246,39752175.0,092500,092500,0.0,1/1,1.0,家用轻工,33,竞价阶段(09:15-09:25),2025-10-16 19:37:29,20251016,涨停,,,,,,,,,33
5,605255,天普股份,-10.001797676086426,100.15,231817205,13428112000.0,13428112000.0,1.726357340812683,-300265323.0,092500,092500,,,,汽车零部,1,竞价阶段(09:15-09:25),2025-10-16 19:37:30,20251016,跌停,594.2677001953125,300265323.0,12613652140.0,1.0,0.0,,,,59
