序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,封单排名,封板时间段,采集时间,交易日期,涨跌类型,动态市盈率,封单资金,板上成交额,连续跌停,开板次数,涨停价,涨速,振幅,综合排名
3,002348,高乐股份,9.965636253356934,6.4,23589760,5782611193.6,6062080000.0,0.4079430401325226,329647360.0,092500,092500,0.0,4/4,3.0,家用轻工,2,竞价阶段(09:15-09:25),2025-12-04 17:59:09,20251204,涨停,,,,,,,,,2
1,000692,惠天热电,9.90338134765625,4.55,58034759,2424390040.7999997,2424390040.7999997,2.3937880992889404,276086301.0,092500,092500,0.0,2/2,2.0,公用事业,4,竞价阶段(09:15-09:25),2025-12-04 17:59:09,20251204,涨停,,,,,,,,,4
2,002300,太阳电缆,10.04672908782959,9.42,141854781,6803785359.36,6804383416.32,2.0849390029907227,201471248.0,092500,092500,0.0,3/3,3.0,电网设备,8,竞价阶段(09:15-09:25),2025-12-04 17:59:09,20251204,涨停,,,,,,,,,8
5,603386,骏亚科技,10.029069900512695,15.14,137899056,4940523558.400001,4940523558.400001,2.7911829948425293,171487146.0,092502,092502,0.0,2/2,2.0,电子元件,12,竞价阶段(09:15-09:25),2025-12-04 17:59:09,20251204,涨停,,,,,,,,,12
4,603933,睿能科技,10.0,28.71,1041891936,5958604748.25,5958604748.25,17.66214370727539,79988356.0,092501,102446,2.0,6/5,1.0,半导体,23,竞价阶段(09:15-09:25),2025-12-04 17:59:09,20251204,涨停,,,,,,,,,23
1,000838,财信发展,0.7712082266807556,3.92,1101787008,4130762151.6,4313811729.92,25.344974517822266,,092500,,3.0,2/1,,房地产开,1,竞价阶段(09:15-09:25),2025-12-04 17:59:10,20251204,炸板,,,,,,4.28,0.0,9.511568069458008,39
