序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,封单排名,封板时间段,采集时间,交易日期,涨跌类型,动态市盈率,封单资金,板上成交额,连续跌停,开板次数,涨停价,涨速,振幅,综合排名
1,002353,杰瑞股份,10.0,56.43,138009666,39119752712.7,57776185051.2,0.35278767347335815,706527357.0,092500,092500,0.0,1/1,1.0,专用设备,1,竞价阶段(09:15-09:25),2025-11-28 19:43:28,20251128,涨停,,,,,,,,,1
4,002792,通宇通讯,9.99074935913086,23.78,174041587,7928347238.900001,12482916442.24,2.195181131362915,418648754.0,092500,092500,0.0,2/2,2.0,通信设备,3,竞价阶段(09:15-09:25),2025-11-28 19:43:28,20251128,涨停,,,,,,,,,3
2,002565,顺灏股份,10.0,8.03,297998240,8511349693.659999,8511711091.839999,3.5011866092681885,270478103.0,092500,092500,0.0,1/1,1.0,包装材料,5,竞价阶段(09:15-09:25),2025-11-28 19:43:28,20251128,涨停,,,,,,,,,5
3,002632,道明光学,9.991158485412598,12.44,134091556,7238661976.84,7770012654.719999,1.8524357080459595,184155987.0,092500,092500,0.0,2/2,2.0,塑料制品,8,竞价阶段(09:15-09:25),2025-11-28 19:43:28,20251128,涨停,,,,,,,,,8
6,600678,四川金顶,10.009910583496094,11.1,329195568,3873789000.0,3873789000.0,8.498025894165039,143868665.0,092501,092501,0.0,1/1,1.0,水泥建材,16,竞价阶段(09:15-09:25),2025-11-28 19:43:28,20251128,涨停,,,,,,,,,16
5,003018,金富科技,10.026809692382812,20.52,56342687,2010527541.0,5335200000.0,2.8023831844329834,104227236.0,092500,092500,0.0,13/7,5.0,塑料制品,22,竞价阶段(09:15-09:25),2025-11-28 19:43:28,20251128,涨停,,,,,,,,,22
