序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,封单排名,封板时间段,采集时间,交易日期,涨跌类型,动态市盈率,封单资金,板上成交额,连续跌停,开板次数,涨停价,涨速,振幅,综合排名
6,002969,嘉美包装,10.068026542663574,8.09,23970403,7680000401.82,7729606291.68,0.3121145963668823,447707338.0,092500,092500,0.0,9/7,6.0,包装材料,1,竞价阶段(09:15-09:25),2025-12-24 19:20:38,20251224,涨停,,,,,,,,,1
3,001331,胜通能源,9.99051570892334,34.79,285646912,5840394872.41,9819129600.0,4.890883445739746,440709143.0,092500,092500,0.0,9/9,9.0,物流行业,2,竞价阶段(09:15-09:25),2025-12-24 19:20:38,20251224,涨停,,,,,,,,,2
5,002909,集泰股份,9.986504554748535,8.15,66137299,3100234017.8,3178500000.0,2.133300304412842,347902310.0,092500,092500,0.0,2/2,2.0,化学制品,5,竞价阶段(09:15-09:25),2025-12-24 19:20:38,20251224,涨停,,,,,,,,,5
2,000551,创元科技,10.014513969421387,15.16,153609549,7322012501.8,7348552886.4,2.097914218902588,242860835.0,092500,092500,0.0,3/3,3.0,环保行业,9,竞价阶段(09:15-09:25),2025-12-24 19:20:38,20251224,涨停,,,,,,,,,9
1,000036,华联控股,9.95106029510498,6.74,668684160,9443757625.42,9461738172.800001,7.1273722648620605,152697908.0,092500,093612,1.0,4/3,2.0,房地产开,23,竞价阶段(09:15-09:25),2025-12-24 19:20:38,20251224,涨停,,,,,,,,,23
4,002166,莱茵生物,10.0,9.57,102337484,7080320717.25,7097202187.68,1.4453792572021484,110324969.0,092500,092500,0.0,1/1,1.0,中药,35,竞价阶段(09:15-09:25),2025-12-24 19:20:38,20251224,涨停,,,,,,,,,35
7,603163,圣晖集成,9.998592376708984,78.11,290396880,7811000000.0,7811000000.0,3.7307229042053223,32323870.0,092503,131326,3.0,3/3,3.0,工程建设,67,竞价阶段(09:15-09:25),2025-12-24 19:20:38,20251224,涨停,,,,,,,,,67
