序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,封单排名,封板时间段,采集时间,交易日期,涨跌类型,动态市盈率,封单资金,板上成交额,连续跌停,开板次数,涨停价,涨速,振幅,综合排名
2,002370,亚太药业,9.935897827148438,6.86,63841232,5115279255.8,5115279296.96,1.2480497360229492,463009512.0,092500,092500,0.0,2/2,2.0,化学制药,1,竞价阶段(09:15-09:25),2025-10-15 19:06:15,20251015,涨停,,,,,,,,,1
1,000626,远大控股,9.959073066711426,8.06,302924496,4059955159.26,4083412523.84,7.513525009155273,157921192.0,092500,093415,1.0,2/2,2.0,贸易行业,8,竞价阶段(09:15-09:25),2025-10-15 19:06:15,20251015,涨停,,,,,,,,,8
4,603778,国晟科技,10.055866241455078,3.94,61202384,2532857139.48,2587169984.32,2.416337728500366,134861078.0,092502,092502,0.0,1/1,1.0,光伏设备,13,竞价阶段(09:15-09:25),2025-10-15 19:06:15,20251015,涨停,,,,,,,,,13
3,002560,通达股份,9.986684799194336,8.26,351001744,3741251376.52,4342600637.76,9.391124725341797,127433628.0,092500,093918,1.0,1/1,1.0,电网设备,16,竞价阶段(09:15-09:25),2025-10-15 19:06:15,20251015,涨停,,,,,,,,,16
