序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,封单排名,封板时间段,采集时间,交易日期,涨跌类型,动态市盈率,封单资金,板上成交额,连续跌停,开板次数,涨停价,涨速,振幅,综合排名
1,000547,航天发展,9.976058006286621,13.78,8763126784,21887472590.879997,22026892788.16,42.59526062011719,308311212.0,092500,145209,8.0,5/5,5.0,通信设备,1,竞价阶段(09:15-09:25),2025-11-20 18:34:26,20251120,涨停,,,,,,,,,1
4,603216,梦天家居,10.01737117767334,19.0,11515235,4231110000.0,4231110000.0,0.27215635776519775,132751765.0,092503,092503,0.0,2/2,2.0,装修装饰,9,竞价阶段(09:15-09:25),2025-11-20 18:34:26,20251120,涨停,,,,,,,,,9
3,000859,国风新材,10.041841506958008,7.89,577101664,7068850388.19,7069252786.08,8.17518138885498,93310256.0,092500,093348,1.0,2/2,2.0,塑料制品,17,竞价阶段(09:15-09:25),2025-11-20 18:34:26,20251120,涨停,,,,,,,,,17
2,000798,中水渔业,10.02405834197998,13.72,746440352,5019272828.64,5019581638.400001,14.917552947998047,83782469.0,092500,141824,2.0,5/5,5.0,农牧饲渔,20,竞价阶段(09:15-09:25),2025-11-20 18:34:26,20251120,涨停,,,,,,,,,20
1,000546,金圆股份,-5.263157844543457,7.2,2130706144,5016277483.2,5599067443.2,38.50978469848633,,092500,,3.0,4/3,,环保行业,1,竞价阶段(09:15-09:25),2025-11-20 18:34:26,20251120,炸板,,,,,,8.36,-0.5524861812591553,15.789472579956055,42
2,002086,东方海洋,-4.3624162673950195,2.85,1379641776,4506665205.45,5582997513.6,28.182218551635742,,092500,,1.0,2/1,,农牧饲渔,2,竞价阶段(09:15-09:25),2025-11-20 18:34:26,20251120,炸板,,,,,,3.28,-0.3496503531932831,14.429530143737793,43
3,600097,开创国际,-5.178446292877197,13.55,806302896,3264690374.4500003,3264690374.4500003,22.591686248779297,,092501,,2.0,4/2,,农牧饲渔,3,竞价阶段(09:15-09:25),2025-11-20 18:34:26,20251120,炸板,,,,,,15.72,-0.36764705181121826,16.025192260742188,44
4,600280,中央商场,-9.512761116027832,3.9,960811664,4400505673.2,4400505657.599999,20.697357177734375,,092501,,1.0,3/2,,商业百货,4,竞价阶段(09:15-09:25),2025-11-20 18:34:26,20251120,炸板,,,,,,4.74,0.2570694088935852,19.953596115112305,45
5,600319,亚星化学,-3.249767780303955,10.42,744597744,4039931781.28,4039931864.64,16.99224090576172,,092501,,2.0,3/2,,化学原料,5,竞价阶段(09:15-09:25),2025-11-20 18:34:26,20251120,炸板,,,,,,11.85,-0.19157087802886963,14.48468017578125,46
6,600965,福成股份,3.4129693508148193,6.06,401001856,4961327787.299999,4961327817.599999,7.996218204498291,,092503,,1.0,0/0,,农牧饲渔,6,竞价阶段(09:15-09:25),2025-11-20 18:34:26,20251120,炸板,,,,,,6.45,0.0,9.044368743896484,47
