序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,封单排名,封板时间段,采集时间,交易日期,涨跌类型,动态市盈率,封单资金,板上成交额,连续跌停,开板次数,涨停价,涨速,振幅,综合排名
2,001331,胜通能源,10.03389835357666,16.23,27120784,2724622270.17,4580755200.0,0.9953961372375488,1084285270.0,092500,092500,0.0,1/1,1.0,物流行业,1,竞价阶段(09:15-09:25),2025-12-12 17:56:48,20251212,涨停,,,,,,,,,1
1,001208,华菱线缆,10.033670425415039,16.34,86322586,4303919185.98,10430646058.88,2.005673885345459,424220714.0,092500,092500,0.0,2/2,2.0,电网设备,2,竞价阶段(09:15-09:25),2025-12-12 17:56:48,20251212,涨停,,,,,,,,,2
4,600192,长城电工,10.011248588562012,9.78,111553008,4320295440.0,4320295440.0,2.582068920135498,129777294.0,092500,092500,0.0,1/1,1.0,电网设备,24,竞价阶段(09:15-09:25),2025-12-12 17:56:48,20251212,涨停,,,,,,,,,24
3,002309,中利集团,9.89011001586914,4.0,168395020,4862487508.0,12030661568.0,3.4631454944610596,101628000.0,092500,092500,0.0,2/2,2.0,光伏设备,39,竞价阶段(09:15-09:25),2025-12-12 17:56:48,20251212,涨停,,,,,,,,,39
