序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,封单排名,封板时间段,采集时间,交易日期,涨跌类型,动态市盈率,封单资金,板上成交额,连续跌停,开板次数,综合排名
3,600170,上海建工,9.931507110595703,3.21,540620000,28523866578.239998,28523866475.52,1.8953250646591187,769941464,092500,092500,0.0,3/3,3.0,工程建设,1,竞价阶段(09:15-09:25),2025-09-16 19:22:26,20250916,涨停,,,,,,1
1,001234,泰慕士,9.992706298828125,30.16,96976464,2760258280.0,3299917192.0,3.5133111476898193,240194240,092500,092500,0.0,2/2,2.0,纺织服装,6,竞价阶段(09:15-09:25),2025-09-16 19:22:26,20250916,涨停,,,,,,6
2,002172,澳洋健康,10.0,4.73,41396960,3619736465.4,3621914100.6400003,1.1436456441879272,179518163,092500,092500,0.0,1/1,1.0,医疗服务,13,竞价阶段(09:15-09:25),2025-09-16 19:22:26,20250916,涨停,,,,,,13
4,603906,龙蟠科技,9.987113952636719,17.07,426189328,9645896874.210001,11694296754.72,4.419494152069092,177185370,092501,093816,1.0,1/1,1.0,电池,14,竞价阶段(09:15-09:25),2025-09-16 19:22:26,20250916,涨停,,,,,,14
5,603959,百利科技,10.061920166015625,7.11,521447408,3486025833.1200004,3486025833.1200004,14.9624605178833,53741788,092502,094520,2.0,6/4,3.0,工程咨询,51,竞价阶段(09:15-09:25),2025-09-16 19:22:26,20250916,涨停,,,,,,51
