序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,封单排名,封板时间段,采集时间,交易日期,涨跌类型,动态市盈率,封单资金,板上成交额,连续跌停,开板次数,涨停价,涨速,振幅,综合排名
4,605376,博迁新材,10.003698348999023,59.49,109595928,15562584000.0,15562584000.0,0.704227089881897,427372709.0,092504,092504,0.0,1/1,1.0,小金属,2,竞价阶段(09:15-09:25),2025-09-29 20:56:23,20250929,涨停,,,,,,,,,2
1,300948,冠中生态,20.0,13.44,24105984,1758054036.48,1882030469.76,1.3711742162704468,209664000.0,092500,092500,0.0,1/1,1.0,环保行业,8,竞价阶段(09:15-09:25),2025-09-29 20:56:23,20250929,涨停,,,,,,,,,8
2,688109,品茗科技,20.005659103393555,84.82,448580960,6687403885.999999,6687403885.999999,6.76725959777832,174905116.0,092503,134503,1.0,3/3,3.0,软件开发,12,竞价阶段(09:15-09:25),2025-09-29 20:56:23,20250929,涨停,,,,,,,,,12
3,603810,丰山集团,10.014005661010742,15.71,49984004,2596014597.1600003,2596014597.1600003,1.9254130125045776,111374976.0,092504,092504,0.0,1/1,1.0,农药兽药,21,竞价阶段(09:15-09:25),2025-09-29 20:56:23,20250929,涨停,,,,,,,,,21
1,601619,嘉泽新能,-4.480286598205566,5.33,2518828800,12975936487.8,12975936509.12,18.0325870513916,,092503,,3.0,3/2,,电力行业,1,竞价阶段(09:15-09:25),2025-09-29 20:56:24,20250929,炸板,,,,,,6.14,0.0,16.487455368041992,54
2,002743,富煌钢构,-9.98307991027832,5.32,29297772,2311917602.96,2315628313.6,1.2672498226165771,-165741195.0,092500,092500,,,,水泥建材,1,竞价阶段(09:15-09:25),2025-09-29 20:56:24,20250929,跌停,37.802799224853516,165741195.0,406974680.0,1.0,0.0,,,,76
