序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,封单排名,封板时间段,采集时间,交易日期,涨跌类型,动态市盈率,封单资金,板上成交额,连续跌停,开板次数,涨停价,涨速,振幅,综合排名
1,002453,华软科技,10.033822059631348,9.76,88916626,5980568207.36,7928703091.2,1.486758828163147,347173838.0,092500,092500,0.0,5/5,5.0,化学制品,3,竞价阶段(09:15-09:25),2025-09-28 21:25:23,20250925,涨停,,,,,,,,,3
3,605358,立昂微,9.987894058227539,36.34,1590239600,24397437823.52,24397438114.24,6.526628494262695,302027118.0,092503,094806,2.0,3/3,3.0,半导体,4,竞价阶段(09:15-09:25),2025-09-28 21:25:23,20250925,涨停,,,,,,,,,4
4,688109,品茗科技,20.008150100708008,58.9,313013440,4643811470.0,4643811470.0,6.867652416229248,247381119.0,092504,093649,1.0,1/1,1.0,软件开发,6,竞价阶段(09:15-09:25),2025-09-28 21:25:23,20250925,涨停,,,,,,,,,6
2,002295,精艺股份,10.024450302124023,13.5,54452790,3378969000.0,3383316000.0,1.6115208864212036,93800160.0,092500,092500,0.0,2/2,2.0,有色金属,22,竞价阶段(09:15-09:25),2025-09-28 21:25:23,20250925,涨停,,,,,,,,,22
1,000737,北方铜业,7.469180107116699,14.82,4205187728,28225255531.2,28227897522.24,14.717000961303711,,092500,,2.0,0/0,,有色金属,1,竞价阶段(09:15-09:25),2025-09-28 21:25:23,20250925,炸板,,,,,,15.17,0.0,4.133430004119873,42
