序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,封单排名,封板时间段,采集时间,交易日期,涨跌类型,涨停价,涨速,振幅,综合排名
5,600699,均胜电子,10.006562232971191,33.53,421231520,45434948683.32,46796833876.8,0.9271090626716614,558820200.0,092503,092503,0,2/2,2.0,汽车零部,1,竞价阶段(09:15-09:25),2025-09-17 22:35:25,20250917,涨停,,,,1
1,001234,泰慕士,10.013262748718262,33.18,33770604,3036650190.0,3630346566.0,1.112100601196289,415277562.0,092500,092500,0,3/3,3.0,纺织服装,2,竞价阶段(09:15-09:25),2025-09-17 22:35:25,20250917,涨停,,,,2
3,002067,景兴纸业,9.966216087341309,6.51,108530026,7860906342.45,8754403848.96,1.3806298971176147,355235212.0,092500,092500,0,2/2,2.0,造纸印刷,4,竞价阶段(09:15-09:25),2025-09-17 22:35:25,20250917,涨停,,,,4
2,002059,云南旅游,9.963768005371094,6.07,770027808,5967089572.06,6145479333.12,13.123574256896973,81555293.0,092500,103254,1,1/1,1.0,旅游酒店,32,竞价阶段(09:15-09:25),2025-09-17 22:35:25,20250917,涨停,,,,32
4,600162,香江控股,10.084033966064453,2.62,886885552,8563307879.64,8563307895.360001,10.481139183044434,72625090.0,092500,100501,4,4/4,4.0,房地产开,37,竞价阶段(09:15-09:25),2025-09-17 22:35:25,20250917,涨停,,,,37
1,002172,澳洋健康,-1.902748465538025,4.64,801728976,3550861987.2,3552998187.52,21.63274574279785,,092500,,1,2/1,,医疗服务,1,竞价阶段(09:15-09:25),2025-09-17 22:35:25,20250917,炸板,5.2,0.0,12.473572731018066,70
