序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,封单排名,封板时间段,采集时间,交易日期,涨跌类型,动态市盈率,封单资金,板上成交额,连续跌停,开板次数,涨停价,涨速,振幅,综合排名
3,688227,品高股份,20.0,49.02,136225355,5541969580.5,5541969580.5,2.4580674171447754,240711190.0,092504,092504,0.0,1/1,1.0,软件开发,5,竞价阶段(09:15-09:25),2025-11-21 18:41:38,20251121,涨停,,,,,,,,,5
1,000017,深中华A,10.011919021606445,9.23,93728546,4068786607.73,6361176885.440001,2.3035993576049805,180701506.0,092500,092500,0.0,3/3,3.0,珠宝首饰,8,竞价阶段(09:15-09:25),2025-11-21 18:41:38,20251121,涨停,,,,,,,,,8
2,603216,梦天家居,10.0,20.9,564350288,4654221000.0,4654221000.0,12.223822593688965,10583760.0,092503,142136,6.0,3/3,3.0,装修装饰,27,竞价阶段(09:15-09:25),2025-11-21 18:41:38,20251121,涨停,,,,,,,,,27
1,601279,英利汽车,-8.131487846374512,5.31,1110549088,8420523580.349999,8420523575.039999,11.813215255737305,,092503,,1.0,6/3,,汽车零部,1,竞价阶段(09:15-09:25),2025-11-21 18:41:38,20251121,炸板,,,,,,6.36,-1.4842300415039062,18.16609001159668,29
71,002240,盛新锂能,-10.0,36.63,379032592,31731755997.15,33527214531.36,1.19448983669281,-1235243306.0,092500,092500,,,,能源金属,1,竞价阶段(09:15-09:25),2025-11-21 18:41:38,20251121,跌停,-33.423439025878906,1235243306.0,2323360314.0,1.0,0.0,,,,49
66,000546,金圆股份,-10.0,6.48,84997512,4514649734.88,5039160698.88,1.882704496383667,-391009155.0,092500,092500,,,,环保行业,6,竞价阶段(09:15-09:25),2025-11-21 18:41:38,20251121,跌停,-37.10765075683594,391009155.0,994089024.0,1.0,0.0,,,,54
61,000688,国城矿业,-9.983136177062988,26.69,100930904,30501702537.27,30501817971.52,0.3309025168418884,-251849749.0,092500,092500,,,,有色金属,11,竞价阶段(09:15-09:25),2025-11-21 18:41:38,20251121,跌停,50.787322998046875,251849749.0,562715946.0,1.0,0.0,,,,59
42,603059,倍加洁,-9.994239807128906,31.25,54840625,3139021875.0,3139021875.0,1.7470608949661255,-90701562.0,092502,092502,,,,美容护理,30,竞价阶段(09:15-09:25),2025-11-21 18:41:38,20251121,跌停,30.548152923583984,90701562.0,559568750.0,1.0,0.0,,,,78
