序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,封单排名,封板时间段,采集时间,交易日期,涨跌类型,动态市盈率,封单资金,板上成交额,连续跌停,开板次数,涨停价,涨速,振幅,综合排名
1,001331,胜通能源,10.0,23.76,19741828,3988726133.0400004,6706022400.0,0.4949406683444977,610233188.0,092500,092500,0.0,5/5,5.0,物流行业,1,竞价阶段(09:15-09:25),2025-12-18 18:28:19,20251218,涨停,,,,,,,,,1
5,601198,东兴证券,9.977151870727539,14.44,185179008,46676513308.799995,46676513308.799995,0.3967284560203552,580047132.0,092502,092502,0.0,1/1,1.0,证券,2,竞价阶段(09:15-09:25),2025-12-18 18:28:19,20251218,涨停,,,,,,,,,2
3,002969,嘉美包装,9.960159301757812,5.52,8511901,5240247492.96,5274094775.04,0.1624331772327423,433979027.0,092500,092500,0.0,5/3,2.0,包装材料,4,竞价阶段(09:15-09:25),2025-12-18 18:28:19,20251218,涨停,,,,,,,,,4
2,002788,鹭燕医药,9.968354225158691,13.9,100457524,5306933833.900001,5400382630.400001,1.8929485082626343,229262986.0,092500,092500,0.0,2/2,2.0,医药商业,8,竞价阶段(09:15-09:25),2025-12-18 18:28:19,20251218,涨停,,,,,,,,,8
6,603703,盛洋科技,10.014204978942871,15.49,261134912,6428073038.8,6428073162.72,4.062413692474365,158529461.0,092502,092502,0.0,2/2,2.0,光学光电,10,竞价阶段(09:15-09:25),2025-12-18 18:28:19,20251218,涨停,,,,,,,,,10
4,300710,万隆光电,20.015546798706055,30.88,114156103,2303030801.44,3072260464.0,4.956777095794678,86217732.0,092500,092500,0.0,1/1,1.0,通信设备,25,竞价阶段(09:15-09:25),2025-12-18 18:28:19,20251218,涨停,,,,,,,,,25
1,002536,飞龙股份,7.466473579406738,29.65,5568187904,16141969980.0,17042401579.199999,33.862857818603516,,092500,,14.0,2/1,,汽车零部,1,竞价阶段(09:15-09:25),2025-12-18 18:28:19,20251218,炸板,,,,,,30.35,-0.06740815937519073,2.682131052017212,62
