序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,封单排名,封板时间段,采集时间,交易日期,涨跌类型,动态市盈率,封单资金,板上成交额,连续跌停,开板次数,涨停价,涨速,振幅,综合排名
5,605178,时空科技,9.99826717376709,63.48,393074512,6289598400.0,6289598400.0,6.249596118927002,574876149.0,092502,092502,0.0,18/9,6.0,装修装饰,1,竞价阶段(09:15-09:25),2025-10-30 18:58:35,20251030,涨停,,,,,,,,,1
2,002790,瑞尔特,9.959758758544922,10.93,104170551,2849423675.0,4567344282.72,3.655846357345581,438702875.0,092500,092500,0.0,3/3,3.0,装修建材,2,竞价阶段(09:15-09:25),2025-10-30 18:58:35,20251030,涨停,,,,,,,,,2
4,603169,兰石重装,9.97624683380127,9.26,224990239,12096262049.48,12096261993.92,1.859998106956482,192477415.0,092501,092501,0.0,1/1,1.0,专用设备,5,竞价阶段(09:15-09:25),2025-10-30 18:58:35,20251030,涨停,,,,,,,,,5
3,002975,博杰股份,9.99840259552002,68.87,348084880,7290507952.6,11040039579.91,4.7752556800842285,160489413.0,092500,093742,1.0,1/1,1.0,专用设备,11,竞价阶段(09:15-09:25),2025-10-30 18:58:35,20251030,涨停,,,,,,,,,11
1,000593,德龙汇能,10.02087688446045,10.54,544111872,3778412601.2599998,3779970824.3199997,14.501307487487793,34861998.0,092500,095533,4.0,3/3,2.0,燃气,37,竞价阶段(09:15-09:25),2025-10-30 18:58:35,20251030,涨停,,,,,,,,,37
