序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,封单排名,封板时间段,采集时间,交易日期,涨跌类型,动态市盈率,封单资金,板上成交额,连续跌停,开板次数,涨停价,涨速,振幅,综合排名
5,003041,真爱美家,9.993510246276855,33.9,21467650,4638313260.0,4881600000.0,0.46283310651779175,389295260.0,092500,092500,0.0,1/1,1.0,纺织服装,1,竞价阶段(09:15-09:25),2025-11-12 21:07:15,20251112,涨停,,,,,,,,,1
1,000407,胜利股份,10.096153259277344,4.58,21205469,4011082530.96,4030787724.48,0.5286719799041748,300178169.0,092500,092500,0.0,2/2,2.0,燃气,2,竞价阶段(09:15-09:25),2025-11-12 21:07:15,20251112,涨停,,,,,,,,,2
3,002691,冀凯股份,10.053476333618164,10.29,309008240,3457237338.45,3498599999.9999995,8.96273422241211,256903720.0,092500,093054,1.0,2/2,2.0,专用设备,3,竞价阶段(09:15-09:25),2025-11-12 21:07:15,20251112,涨停,,,,,,,,,3
2,000632,三木集团,10.050251007080078,6.57,36371264,3058214151.42,3058463561.76,1.1892974376678467,256844295.0,092500,092500,0.0,8/5,4.0,综合行业,4,竞价阶段(09:15-09:25),2025-11-12 21:07:15,20251112,涨停,,,,,,,,,4
8,600829,人民同泰,10.035211563110352,12.5,59779850,7248607462.5,7248607400.0,0.8247080445289612,251963900.0,092502,092502,0.0,3/3,3.0,医药商业,5,竞价阶段(09:15-09:25),2025-11-12 21:07:15,20251112,涨停,,,,,,,,,5
7,600429,三元股份,9.966776847839355,6.62,77108674,9913830160.12,9943829656.64,0.7777889370918274,190937773.0,092501,092501,0.0,3/3,3.0,食品饮料,6,竞价阶段(09:15-09:25),2025-11-12 21:07:15,20251112,涨停,,,,,,,,,6
6,603778,国晟科技,10.015649795532227,7.03,59489969,4519285708.26,4616194159.84,1.3163577318191528,190017385.0,092500,092500,0.0,8/4,3.0,光伏设备,7,竞价阶段(09:15-09:25),2025-11-12 21:07:15,20251112,涨停,,,,,,,,,7
4,003027,同兴科技,9.980138778686523,22.15,55187013,2322670441.2,2895518880.0,2.3760156631469727,147927379.0,092500,092500,0.0,1/1,1.0,环保行业,16,竞价阶段(09:15-09:25),2025-11-12 21:07:15,20251112,涨停,,,,,,,,,16
1,002218,拓日新能,3.6781609058380127,4.51,1539264336,6279716102.99,6372722653.44,24.009023666381836,,092500,,1.0,2/1,,光伏设备,1,竞价阶段(09:15-09:25),2025-11-12 21:07:16,20251112,炸板,,,,,,4.79,-0.22123894095420837,8.735631942749023,59
