序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,封单排名,封板时间段,采集时间,交易日期,涨跌类型,动态市盈率,封单资金,板上成交额,连续跌停,开板次数,涨停价,涨速,振幅,综合排名
1,002402,和而泰,10.005979537963867,55.19,171457007,44473858311.369995,51040059034.72,0.38552311062812805,912811252.0,092500,092500,0.0,4/3,2.0,消费电子,1,竞价阶段(09:15-09:25),2025-09-23 23:21:50,20250923,涨停,,,,,,,,,1
5,300604,长川科技,20.002988815307617,80.27,4240697120,38975955382.25,50607494261.119995,10.922924041748047,622509743.0,092500,094612,1.0,1/1,1.0,半导体,2,竞价阶段(09:15-09:25),2025-09-23 23:21:50,20250923,涨停,,,,,,,,,2
6,600635,大众公用,9.981851577758789,6.06,229434309,14657877550.5,17891754112.32,1.565262794494629,305486133.0,092501,092501,0.0,2/2,2.0,燃气,4,竞价阶段(09:15-09:25),2025-09-23 23:21:50,20250923,涨停,,,,,,,,,4
7,600167,联美控股,9.94962215423584,8.73,49082129,19754597241.99,19754597250.72,0.24845927953720093,259108695.0,092502,092502,0.0,2/2,2.0,公用事业,6,竞价阶段(09:15-09:25),2025-09-23 23:21:50,20250923,涨停,,,,,,,,,6
8,605255,天普股份,10.00395393371582,111.28,42764793,14920422400.0,14920422400.0,0.2866191864013672,223884343.0,092502,092502,0.0,30/17,4.0,汽车零部,8,竞价阶段(09:15-09:25),2025-09-23 23:21:50,20250923,涨停,,,,,,,,,8
2,002453,华软科技,9.959073066711426,8.06,1000582560,4938870876.16,6547678987.200001,20.55290985107422,170614886.0,092500,093621,2.0,3/3,3.0,化学制品,11,竞价阶段(09:15-09:25),2025-09-23 23:21:50,20250923,涨停,,,,,,,,,11
9,600416,湘电股份,9.986595153808594,16.41,928434224,21749919762.45,21749919811.68,4.277032852172852,139726030.0,092503,093854,2.0,1/1,1.0,电机,15,竞价阶段(09:15-09:25),2025-09-23 23:21:50,20250923,涨停,,,,,,,,,15
3,002515,金字火腿,9.943977355957031,7.85,2012825504,9503207440.9,9503321156.0,21.238065719604492,57804417.0,092500,101821,10.0,1/1,1.0,食品饮料,33,竞价阶段(09:15-09:25),2025-09-23 23:21:50,20250923,涨停,,,,,,,,,33
4,002925,盈趣科技,10.0204496383667,21.52,1682879936,15842479350.32,16730547363.84,10.912947654724121,57674245.0,092500,110618,5.0,2/2,2.0,消费电子,34,竞价阶段(09:15-09:25),2025-09-23 23:21:50,20250923,涨停,,,,,,,,,34
1,002475,立讯精密,7.793272972106934,65.7,36353840896,475593870492.9,476457459609.60004,7.654837608337402,,092500,,2.0,2/1,,消费电子,1,竞价阶段(09:15-09:25),2025-09-23 23:21:51,20250923,炸板,,,,,,67.05,0.015223017893731594,5.561935901641846,51
2,831961,创远信科,12.390393257141113,29.48,894540592,3062712723.4,4210938175.84,27.098867416381836,,092502,,1.0,0/0,,通信设备,2,竞价阶段(09:15-09:25),2025-09-23 23:21:51,20250923,炸板,,,,,,34.09,0.0,19.40526008605957,52
