序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,封单排名,封板时间段,采集时间,交易日期,涨跌类型,动态市盈率,封单资金,板上成交额,连续跌停,开板次数,涨停价,涨速,振幅,综合排名
3,002790,瑞尔特,9.972553253173828,12.02,99905480,3133583950.0,5022825094.08,3.188217878341675,548791081.0,092500,092500,0.0,4/4,4.0,装修建材,1,竞价阶段(09:15-09:25),2025-10-31 19:54:06,20251031,涨停,,,,,,,,,1
6,603185,弘元绿能,10.0,29.48,466432496,20017574514.96,20017574691.84,2.3301150798797607,326594238.0,092503,092503,0.0,3/2,1.0,光伏设备,4,竞价阶段(09:15-09:25),2025-10-31 19:54:06,20251031,涨停,,,,,,,,,4
4,003036,泰坦股份,9.983633041381836,20.16,112765726,4359923991.36,4359945159.36,2.5864150524139404,312352225.0,092500,092500,0.0,2/2,2.0,专用设备,6,竞价阶段(09:15-09:25),2025-10-31 19:54:06,20251031,涨停,,,,,,,,,6
5,603629,利通电子,9.983566284179688,26.77,196717899,6864149240.0,6958326100.0,2.8658745288848877,231203655.0,092502,092502,0.0,1/1,1.0,消费电子,9,竞价阶段(09:15-09:25),2025-10-31 19:54:06,20251031,涨停,,,,,,,,,9
2,002636,金安国纪,10.033445358276367,16.45,578103728,11914988609.65,11975600000.0,4.854307174682617,84176525.0,092500,101242,1.0,1/1,1.0,电子元件,22,竞价阶段(09:15-09:25),2025-10-31 19:54:06,20251031,涨停,,,,,,,,,22
1,001203,大中矿业,9.98307991027832,19.5,1902146560,25160636124.0,29406449904.0,7.570616245269775,26359222.0,092500,144930,26.0,3/3,3.0,钢铁行业,50,竞价阶段(09:15-09:25),2025-10-31 19:54:06,20251031,涨停,,,,,,,,,50
