序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,封单排名,封板时间段,采集时间,交易日期,涨跌类型,动态市盈率,封单资金,板上成交额,连续跌停,开板次数,涨停价,涨速,振幅,综合排名
2,002185,华天科技,10.016977310180664,12.96,2317589088,41840308944.0,41849923760.64,5.542021751403809,441198809.0,092500,100103,2.0,1/1,1.0,半导体,1,竞价阶段(09:15-09:25),2025-10-17 19:40:11,20251017,涨停,,,,,,,,,1
3,002552,宝鼎科技,10.0,18.7,298883248,5988371985.2,7255325633.599999,4.993941783905029,65973824.0,092500,094500,1.0,1/1,1.0,通用设备,17,竞价阶段(09:15-09:25),2025-10-17 19:40:11,20251017,涨停,,,,,,,,,17
1,002108,沧州明珠,10.077519416809082,4.26,599372448,7022029387.559999,7094581234.559999,8.541292190551758,46639540.0,092500,095527,2.0,1/1,1.0,塑料制品,25,竞价阶段(09:15-09:25),2025-10-17 19:40:11,20251017,涨停,,,,,,,,,25
1,600748,上实发展,8.131487846374512,6.25,1048142240,11528518075.0,11528518100.0,8.984704971313477,,092502,,21.0,3/2,,房地产开,1,竞价阶段(09:15-09:25),2025-10-17 19:40:12,20251017,炸板,,,,,,6.36,-0.7936508655548096,4.498269557952881,38
22,605255,天普股份,-9.995007514953613,90.14,44763524,12085971200.0,12085971200.0,0.3703759014606476,-381432457.0,092501,092501,,,,汽车零部,1,竞价阶段(09:15-09:25),2025-10-17 19:40:11,20251017,跌停,534.8705444335938,381432457.0,2255077450.0,2.0,0.0,,,,52
