序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,封单排名,封板时间段,采集时间,交易日期,涨跌类型,动态市盈率,封单资金,板上成交额,连续跌停,开板次数,涨停价,涨速,振幅,综合排名
2,002348,高乐股份,10.018903732299805,5.82,28713436,5258562054.18,5512704000.0,0.5460320711135864,311415512.0,092500,092500,0.0,3/3,2.0,家用轻工,1,竞价阶段(09:15-09:25),2025-12-03 17:46:24,20251203,涨停,,,,,,,,,1
3,002702,海欣食品,10.045661926269531,9.64,1507288816,4422289750.0,5357526400.0,34.64622497558594,96191689.0,092500,141109,3.0,6/6,6.0,食品饮料,16,竞价阶段(09:15-09:25),2025-12-03 17:46:24,20251203,涨停,,,,,,,,,16
1,000838,财信发展,9.887005805969238,3.89,82329905,4099149175.9500003,4280797864.6400003,2.008463144302368,80524945.0,092500,092500,0.0,1/1,1.0,房地产开,21,竞价阶段(09:15-09:25),2025-12-03 17:46:24,20251203,涨停,,,,,,,,,21
4,603696,安记食品,9.979494094848633,16.09,944955952,3784368000.0,3784368000.0,25.992589950561523,65532961.0,092502,142120,1.0,2/2,2.0,食品饮料,26,竞价阶段(09:15-09:25),2025-12-03 17:46:24,20251203,涨停,,,,,,,,,26
1,003018,金富科技,-9.98791790008545,22.35,1517716112,2189828973.75,5811000000.0,60.602413177490234,,092500,,4.0,16/9,,塑料制品,1,竞价阶段(09:15-09:25),2025-12-03 17:46:24,20251203,炸板,,,,,,27.31,-0.9308510422706604,19.9758358001709,49
2,300889,爱克股份,7.90697717666626,27.84,941871344,4074856695.36,6131121907.2,21.68255043029785,,092500,,3.0,0/0,,光学光电,2,竞价阶段(09:15-09:25),2025-12-03 17:46:24,20251203,炸板,,,,,,30.96,0.0,15.348836898803711,50
