序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,封单排名,封板时间段,采集时间,交易日期,涨跌类型,动态市盈率,封单资金,板上成交额,连续跌停,开板次数,涨停价,涨速,振幅,综合排名
1,000950,重药控股,10.068259239196777,6.45,201708560,11146791289.2,11146791340.800001,1.8095661401748657,324936519.0,092500,092500,0.0,2/2,2.0,医药商业,2,竞价阶段(09:15-09:25),2025-12-11 17:54:48,20251211,涨停,,,,,,,,,2
2,001208,华菱线缆,10.0,14.85,237646035,3911456542.95,9479503915.199999,6.0756402015686035,207908910.0,092500,092500,0.0,1/1,1.0,电网设备,5,竞价阶段(09:15-09:25),2025-12-11 17:54:48,20251211,涨停,,,,,,,,,5
1,002105,信隆健康,-8.547008514404297,8.56,963922256,3119880106.0,3150593600.0,28.157838821411133,,092500,,1.0,3/2,,交运设备,1,竞价阶段(09:15-09:25),2025-12-11 17:54:49,20251211,炸板,,,,,,10.3,0.0,19.230770111083984,35
