序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,封单排名,封板时间段,采集时间,交易日期,涨跌类型,动态市盈率,封单资金,板上成交额,连续跌停,开板次数,涨停价,涨速,振幅,综合排名
3,002451,摩恩电气,9.96818733215332,10.37,729626192,4553975130.0,4569747900.0,16.026994705200195,233048297.0,092500,144842,1.0,4/4,4.0,电网设备,6,竞价阶段(09:15-09:25),2025-11-07 22:28:59,20251107,涨停,,,,,,,,,6
1,000572,海马汽车,10.0,9.9,4523350272,16258305363.300001,16281900676.800001,28.13631820678711,224447859.0,092500,095339,3.0,6/5,1.0,汽车整车,7,竞价阶段(09:15-09:25),2025-11-07 22:28:59,20251107,涨停,,,,,,,,,7
2,002196,方正电机,9.976616859436035,14.11,1409838128,6889707092.7699995,6996753016.96,20.474485397338867,124624317.0,092500,101333,2.0,2/2,2.0,电机,16,竞价阶段(09:15-09:25),2025-11-07 22:28:59,20251107,涨停,,,,,,,,,16
4,600939,重庆建工,9.972298622131348,3.97,162805968,7550173170.68,7550173186.56,2.1563210487365723,84690025.0,092502,092502,0.0,2/2,2.0,工程建设,25,竞价阶段(09:15-09:25),2025-11-07 22:28:59,20251107,涨停,,,,,,,,,25
2,301181,标榜股份,-20.0,40.96,39886848,3693822894.08,4732558254.08,1.0798256397247314,-165122457.0,092500,092500,,,,汽车零部,1,竞价阶段(09:15-09:25),2025-11-07 22:28:59,20251107,跌停,39.24169158935547,165122457.0,178237440.0,1.0,0.0,,,,81
