序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,封单排名,封板时间段,采集时间,交易日期,涨跌类型,动态市盈率,封单资金,板上成交额,连续跌停,开板次数,涨停价,涨速,振幅,综合排名
1,001331,胜通能源,9.979633331298828,21.6,7820604,3626114666.4,6096384000.0,0.2156744748353958,546431076.0,092500,092500,0.0,4/4,4.0,物流行业,1,竞价阶段(09:15-09:25),2025-12-17 19:19:50,20251217,涨停,,,,,,,,,1
2,002969,嘉美包装,10.087719917297363,5.02,24608502,4765587393.96,4796368799.04,0.516379177570343,472251018.0,092500,092500,0.0,4/2,1.0,包装材料,3,竞价阶段(09:15-09:25),2025-12-17 19:19:50,20251217,涨停,,,,,,,,,3
5,603703,盛洋科技,10.0,14.08,206606541,5842948249.6,5842948362.24,3.5359981060028076,136002944.0,092503,092503,0.0,1/1,1.0,光学光电,15,竞价阶段(09:15-09:25),2025-12-17 19:19:50,20251217,涨停,,,,,,,,,15
4,601366,利群股份,10.020039558410645,5.49,696806544,5017491857.070001,5017491862.56,13.987120628356934,98150406.0,092502,094932,3.0,2/2,2.0,商业百货,24,竞价阶段(09:15-09:25),2025-12-17 19:19:50,20251217,涨停,,,,,,,,,24
3,600865,百大集团,10.013908386230469,15.82,1414820240,5952121799.12,5952121862.400001,23.905595779418945,18777121.0,092502,141414,7.0,5/5,5.0,商业百货,48,竞价阶段(09:15-09:25),2025-12-17 19:19:50,20251217,涨停,,,,,,,,,48
19,002682,龙洲股份,-9.962756156921387,9.67,119589857,5438023075.98,5438104284.64,2.1991422176361084,-794582594.0,092500,092500,,,,物流行业,1,竞价阶段(09:15-09:25),2025-12-17 19:19:50,20251217,跌停,-42.64701843261719,794582594.0,1093813347.0,2.0,0.0,,,,70
