================================================================================
K线序列模式统计（从首次涨停到信号日）
共 324 笔有效交易，224 种不同模式
================================================================================

K线序列                                               样本数      胜率       平均收益       盈亏比      期望值       
中实体-一字板-一字板-大实体                                    1         100.0%    +15.18%    0.00    +15.18%
大实体-大实体-一字板-一字板-小实体-大实体                            1         100.0%    +12.25%    0.00    +12.25%
一字板-一字板-一字板-一字板-一字板-一字板-一字板                        1         100.0%    +10.30%    0.00    +10.30%
大实体-一字板-一字板-中实体-大实体                                1         100.0%     +8.97%    0.00     +8.97%
大实体-一字板-一字板                                        1         100.0%     +8.92%    0.00     +8.92%
大实体-中实体-一字板-中实体-一字板-中实体                            1         100.0%     +7.80%    0.00     +7.80%
小实体-中实体-一字板-大实体                                    1         100.0%     +6.69%    0.00     +6.69%
大实体-大实体-一字板-一字板-中实体                                1         100.0%     +6.66%    0.00     +6.66%
一字板-一字板-一字板-一字板-小实体-大实体                            1         100.0%     +6.19%    0.00     +6.19%
中实体-一字板-大实体-中实体-大实体                                1         100.0%     +6.11%    0.00     +6.11%
一字板-一字板-中实体-大实体                                    1         100.0%     +5.90%    0.00     +5.90%
一字板-一字板-一字板-一字板-一字板-大实体                            1         100.0%     +5.82%    0.00     +5.82%
大实体-小实体-一字板-大实体-大实体                                1         100.0%     +5.08%    0.00     +5.08%
一字板-一字板-一字板-一字板-一字板-一字板-大实体                        1         100.0%     +4.57%    0.00     +4.57%
中实体-中实体-大实体                                        1         100.0%     +3.29%    0.00     +3.29%
一字板-一字板-一字板-小实体-大实体-大实体                            1         100.0%     +2.48%    0.00     +2.48%
小实体-大实体-大实体                                        1         100.0%     +2.14%    0.00     +2.14%
大实体-一字板-中实体-中实体-一字板-中实体-一字板-中实体                    1         100.0%     +1.73%    0.00     +1.73%
一字板-一字板-小实体-小实体-中实体                                1         100.0%     +1.63%    0.00     +1.63%
大实体-一字板-中实体-一字板-大实体                                1         100.0%     +1.52%    0.00     +1.52%
小实体-中实体-中实体-中实体                                    1         100.0%     +0.87%    0.00     +0.87%
大实体-一字板-中实体-一字板-小实体-大实体                            1         100.0%     +0.65%    0.00     +0.65%
一字板-一字板-小实体-大实体-大实体-大实体                            1         100.0%     +0.61%    0.00     +0.61%
大实体-大实体-小实体-一字板-大实体                                1         100.0%     +0.33%    0.00     +0.33%
中实体-一字板-中实体-大实体                                    1         100.0%     +0.30%    0.00     +0.30%
一字板-一字板-一字板-一字板-一字板-一字板                            1           0.0%     -0.13%    0.00     -0.13%
大实体-一字板-一字板-一字板-一字板-一字板                            1           0.0%     -0.49%    0.00     -0.49%
中实体-大实体-中实体                                        1           0.0%     -0.87%    0.00     -0.87%
中实体-中实体-小实体                                        1           0.0%     -1.08%    0.00     -1.08%
大实体-小实体-小实体-中实体-一字板-大实体                            1           0.0%     -1.21%    0.00     -1.21%
大实体-一字板-大实体-一字板-一字板-中实体                            1           0.0%     -1.95%    0.00     -1.95%
小实体-中实体-中实体-中实体-大实体                                1           0.0%     -2.17%    0.00     -2.17%
中实体-一字板-一字板-一字板-中实体                                1           0.0%     -2.44%    0.00     -2.44%
中实体-一字板-中实体-中实体                                    1           0.0%     -2.81%    0.00     -2.81%
小实体-一字板-中实体-中实体                                    1           0.0%     -2.85%    0.00     -2.85%
一字板-一字板-大实体-中实体                                    1           0.0%     -3.16%    0.00     -3.16%
大实体-一字板-大实体-一字板-一字板-中实体-中实体                        1           0.0%     -3.85%    0.00     -3.85%
一字板-一字板-一字板-一字板-一字板-一字板-一字板-大实体                    1           0.0%     -4.17%    0.00     -4.17%
一字板-一字板-一字板-一字板-一字板-一字板-一字板-大实体-大实体                1           0.0%     -4.71%    0.00     -4.71%
小实体-一字板-中实体-中实体-大实体                                1           0.0%     -4.82%    0.00     -4.82%
小实体-一字板-中实体                                        1           0.0%     -5.04%    0.00     -5.04%
大实体-一字板-一字板-一字板-一字板-一字板-一字板                        1           0.0%     -5.16%    0.00     -5.16%
中实体-一字板-一字板-一字板-中实体-大实体                            1           0.0%     -5.26%    0.00     -5.26%
小实体-中实体-大实体                                        1           0.0%     -5.60%    0.00     -5.60%
大实体-大实体-一字板-一字板-中实体-大实体                            1           0.0%     -5.96%    0.00     -5.96%
中实体-一字板-一字板-中实体                                    1           0.0%     -6.19%    0.00     -6.19%
大实体-小实体-小实体-大实体                                    1           0.0%     -6.24%    0.00     -6.24%
大实体-一字板-大实体-中实体                                    1           0.0%     -6.59%    0.00     -6.59%
大实体-一字板-一字板-一字板-大实体-大实体-大实体                        1           0.0%     -6.89%    0.00     -6.89%
大实体-小实体-小实体-中实体-一字板-大实体-中实体                        1           0.0%     -6.98%    0.00     -6.98%
大实体-中实体-小实体-大实体                                    1           0.0%     -7.34%    0.00     -7.34%
一字板-一字板-小实体-小实体-中实体-大实体                            1           0.0%     -7.50%    0.00     -7.50%
中实体-中实体-一字板-大实体                                    1           0.0%     -7.95%    0.00     -7.95%
中实体-一字板-小实体                                        1           0.0%     -8.70%    0.00     -8.70%
大实体-一字板-小实体-大实体-大实体                                1           0.0%     -8.96%    0.00     -8.96%
大实体-小实体-小实体-大实体-大实体                                1           0.0%     -9.30%    0.00     -9.30%
大实体-大实体-一字板-一字板-中实体-中实体-一字板-一字板-一字板-小实体-大实体        1           0.0%     -9.70%    0.00     -9.70%
大实体-一字板-中实体-一字板-大实体-大实体                            1           0.0%     -9.98%    0.00     -9.98%
中实体-一字板-中实体-一字板-大实体                                1           0.0%    -10.63%    0.00    -10.63%
大实体-一字板-一字板-一字板-大实体-中实体                            1           0.0%    -11.37%    0.00    -11.37%
中实体-小实体-中实体-一字板-中实体                                1           0.0%    -12.20%    0.00    -12.20%
一字板-一字板-小实体-大实体-大实体                                1           0.0%    -12.34%    0.00    -12.34%
大实体-一字板-中实体-一字板-小实体-大实体-大实体                        1           0.0%    -12.75%    0.00    -12.75%
大实体-大实体-一字板-一字板-中实体-中实体-一字板-一字板-一字板-小实体            1           0.0%    -12.84%    0.00    -12.84%
大实体-一字板-一字板-小实体-一字板-大实体                            1           0.0%    -13.68%    0.00    -13.68%
大实体-大实体-中实体-一字板-一字板-中实体                            1           0.0%    -14.43%    0.00    -14.43%
小实体-一字板-中实体-大实体                                    1           0.0%    -14.76%    0.00    -14.76%
大实体-大实体-小实体-大实体                                    1           0.0%    -15.59%    0.00    -15.59%
中实体-一字板-中实体-大实体-大实体                                1           0.0%    -17.44%    0.00    -17.44%
中实体-一字板-一字板-一字板-一字板-大实体                            1           0.0%    -17.98%    0.00    -17.98%
大实体-一字板-一字板-一字板-一字板-一字板-一字板-中实体                    1           0.0%    -19.36%    0.00    -19.36%
大实体-大实体-一字板-一字板-小实体-大实体-大实体                        1           0.0%    -21.27%    0.00    -21.27%
大实体-大实体-小实体-一字板-一字板-大实体                            1           0.0%    -21.27%    0.00    -21.27%
一字板-小实体-一字板-中实体                                    1           0.0%    -24.79%    0.00    -24.79%

================================================================================
统计说明：
  - K线序列：从首次涨停日到信号日的每日K线形态，用'-'连接
  - 样本数：该序列模式出现的交易次数
  - 胜率：该序列模式下的盈利交易占比
  - 平均收益：该序列模式下的平均收益率
  - 盈亏比：平均盈利/平均亏损
  - 期望值：胜率×平均盈利 - (1-胜率)×平均亏损
================================================================================
